Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
suite-chrome,Chrome 76.0.3809.100,,2019-08-13 10:51:37,2019-08-13 11:21:27,29m - 49.599s,FAILED
,,,,,,
Test Cases/CRITICAL PATH - SPANISH/Increase quantity - cart page,Chrome 76.0.3809.100,,2019-08-13 10:51:37,2019-08-13 10:52:57,1m - 19.422s,FAILED
"callTestCase(findTestCase(""CALL - LANGUAGE TOGGLER""), [:], STOP_ON_FAILURE)",Chrome 76.0.3809.100,,2019-08-13 10:51:37,2019-08-13 10:51:45,7.565s,PASSED
delay(2),Chrome 76.0.3809.100,,2019-08-13 10:51:45,2019-08-13 10:51:47,2.005s,PASSED
"mouseOver(findTestObject(""CR-DESKTOP - SPANISH/Mega menu/SHOES""))",Chrome 76.0.3809.100,,2019-08-13 10:51:47,2019-08-13 10:51:47,0.063s,PASSED
delay(2),Chrome 76.0.3809.100,,2019-08-13 10:51:47,2019-08-13 10:51:49,2.005s,PASSED
"click(findTestObject(""CR-DESKTOP - SPANISH/Mega menu/shoes - tenis""))",Chrome 76.0.3809.100,,2019-08-13 10:51:49,2019-08-13 10:51:51,2.026s,PASSED
delay(2),Chrome 76.0.3809.100,,2019-08-13 10:51:51,2019-08-13 10:51:53,2.005s,PASSED
"click(findTestObject(""CR-DESKTOP/Collection page/product 3""))",Chrome 76.0.3809.100,,2019-08-13 10:51:53,2019-08-13 10:51:55,1.626s,PASSED
delay(2),Chrome 76.0.3809.100,,2019-08-13 10:51:55,2019-08-13 10:51:57,2.002s,PASSED
"click(findTestObject(""CR-DESKTOP - SPANISH/product page/verde neon""))",Chrome 76.0.3809.100,,2019-08-13 10:51:57,2019-08-13 10:51:57,0.095s,PASSED
delay(2),Chrome 76.0.3809.100,,2019-08-13 10:51:57,2019-08-13 10:51:59,2.005s,PASSED
"click(findTestObject(""CR-DESKTOP/product page/Size -6""))",Chrome 76.0.3809.100,,2019-08-13 10:51:59,2019-08-13 10:51:59,0.108s,PASSED
delay(2),Chrome 76.0.3809.100,,2019-08-13 10:51:59,2019-08-13 10:52:01,2.003s,PASSED
"click(findTestObject(""CR-DESKTOP - SPANISH/product page/Add to bag""))",Chrome 76.0.3809.100,,2019-08-13 10:52:01,2019-08-13 10:52:01,0.051s,PASSED
delay(2),Chrome 76.0.3809.100,,2019-08-13 10:52:01,2019-08-13 10:52:03,2.006s,PASSED
"click(findTestObject(""CR-DESKTOP/Cart flyout/Checkout""))",Chrome 76.0.3809.100,,2019-08-13 10:52:03,2019-08-13 10:52:06,3.388s,PASSED
delay(3),Chrome 76.0.3809.100,,2019-08-13 10:52:06,2019-08-13 10:52:09,3.004s,PASSED
