Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
suite-firefox,Firefox 68.0,,2019-08-13 09:47:37,2019-08-13 10:14:28,26m - 50.900s,FAILED
,,,,,,
Test Cases/CRITICAL PATH - SPANISH/Increase quantity - cart page,Firefox 68.0,,2019-08-13 09:47:38,2019-08-13 09:49:19,1m - 40.923s,FAILED
"callTestCase(findTestCase(""CALL - LANGUAGE TOGGLER""), [:], STOP_ON_FAILURE)",Firefox 68.0,,2019-08-13 09:47:39,2019-08-13 09:48:01,21.987s,PASSED
delay(2),Firefox 68.0,,2019-08-13 09:48:01,2019-08-13 09:48:03,2.015s,PASSED
"mouseOver(findTestObject(""CR-DESKTOP - SPANISH/Mega menu/SHOES""))",Firefox 68.0,,2019-08-13 09:48:03,2019-08-13 09:48:03,0.181s,PASSED
delay(2),Firefox 68.0,,2019-08-13 09:48:03,2019-08-13 09:48:05,2.008s,PASSED
"click(findTestObject(""CR-DESKTOP - SPANISH/Mega menu/shoes - tenis""))",Firefox 68.0,,2019-08-13 09:48:05,2019-08-13 09:48:06,1.491s,PASSED
delay(2),Firefox 68.0,,2019-08-13 09:48:06,2019-08-13 09:48:08,2.006s,PASSED
"click(findTestObject(""CR-DESKTOP/Collection page/product 3""))",Firefox 68.0,,2019-08-13 09:48:08,2019-08-13 09:48:10,1.795s,PASSED
delay(2),Firefox 68.0,,2019-08-13 09:48:10,2019-08-13 09:48:12,2.011s,PASSED
"click(findTestObject(""CR-DESKTOP - SPANISH/product page/verde neon""))",Firefox 68.0,,2019-08-13 09:48:12,2019-08-13 09:48:13,0.300s,PASSED
delay(2),Firefox 68.0,,2019-08-13 09:48:13,2019-08-13 09:48:15,2.003s,PASSED
"click(findTestObject(""CR-DESKTOP/product page/Size -6""))",Firefox 68.0,,2019-08-13 09:48:15,2019-08-13 09:48:15,0.380s,PASSED
delay(2),Firefox 68.0,,2019-08-13 09:48:15,2019-08-13 09:48:17,2.006s,PASSED
"click(findTestObject(""CR-DESKTOP - SPANISH/product page/Add to bag""))",Firefox 68.0,,2019-08-13 09:48:17,2019-08-13 09:48:17,0.269s,PASSED
delay(2),Firefox 68.0,,2019-08-13 09:48:17,2019-08-13 09:48:19,2.008s,PASSED
"click(findTestObject(""CR-DESKTOP/Cart flyout/Checkout""))",Firefox 68.0,,2019-08-13 09:48:19,2019-08-13 09:48:25,5.718s,PASSED
delay(3),Firefox 68.0,,2019-08-13 09:48:25,2019-08-13 09:48:28,3.003s,PASSED
"click(findTestObject(""CR-DESKTOP - SPANISH/Customer info page/cart page link""))",Firefox 68.0,,2019-08-13 09:48:28,2019-08-13 09:48:29,1.054s,PASSED
delay(2),Firefox 68.0,,2019-08-13 09:48:29,2019-08-13 09:48:31,2.002s,PASSED
"a = getText(findTestObject(""CR-DESKTOP/Cart page/Get price - subtotal- cart page""))",Firefox 68.0,,2019-08-13 09:48:31,2019-08-13 09:48:31,0.065s,PASSED
delay(2),Firefox 68.0,,2019-08-13 09:48:31,2019-08-13 09:48:33,2.006s,PASSED
"comment(""a="" + a)",Firefox 68.0,,2019-08-13 09:48:33,2019-08-13 09:48:33,0.006s,PASSED
a1 = a.substring(1),Firefox 68.0,,2019-08-13 09:48:33,2019-08-13 09:48:33,0.002s,PASSED
"comment(""a1="" + a1)",Firefox 68.0,,2019-08-13 09:48:33,2019-08-13 09:48:33,0.001s,PASSED
delay(2),Firefox 68.0,,2019-08-13 09:48:33,2019-08-13 09:48:35,2.009s,PASSED
"setText(findTestObject(""CR-DESKTOP - SPANISH/Cart page/input update qunatity""), ""4"")",Firefox 68.0,,2019-08-13 09:48:35,2019-08-13 09:48:35,0.077s,PASSED
