Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
suite-safari,Safari 12,,2019-08-13 12:51:41,2019-08-13 13:24:26,32m - 44.315s,FAILED
,,,,,,
Test Cases/CRITICAL PATH - SPANISH/Increase quantity - cart page,Safari 12,,2019-08-13 12:51:42,2019-08-13 12:53:56,2m - 14.080s,PASSED
"callTestCase(findTestCase(""CALL - LANGUAGE TOGGLER""), [:], STOP_ON_FAILURE)",Safari 12,,2019-08-13 12:51:43,2019-08-13 12:52:28,44.901s,PASSED
delay(2),Safari 12,,2019-08-13 12:52:28,2019-08-13 12:52:30,2.006s,PASSED
"mouseOver(findTestObject(""CR-DESKTOP - SPANISH/Mega menu/SHOES""))",Safari 12,,2019-08-13 12:52:30,2019-08-13 12:52:30,0.418s,PASSED
delay(2),Safari 12,,2019-08-13 12:52:30,2019-08-13 12:52:32,2.013s,PASSED
"click(findTestObject(""CR-DESKTOP - SPANISH/Mega menu/shoes - tenis""))",Safari 12,,2019-08-13 12:52:32,2019-08-13 12:52:36,3.538s,PASSED
delay(2),Safari 12,,2019-08-13 12:52:36,2019-08-13 12:52:38,2.014s,PASSED
"click(findTestObject(""CR-DESKTOP/Collection page/product 3""))",Safari 12,,2019-08-13 12:52:38,2019-08-13 12:52:40,2.026s,PASSED
delay(2),Safari 12,,2019-08-13 12:52:40,2019-08-13 12:52:42,2.006s,PASSED
"click(findTestObject(""CR-DESKTOP - SPANISH/product page/verde neon""))",Safari 12,,2019-08-13 12:52:42,2019-08-13 12:52:42,0.239s,PASSED
delay(2),Safari 12,,2019-08-13 12:52:42,2019-08-13 12:52:44,2.008s,PASSED
"click(findTestObject(""CR-DESKTOP/product page/Size -6""))",Safari 12,,2019-08-13 12:52:44,2019-08-13 12:52:44,0.250s,PASSED
delay(2),Safari 12,,2019-08-13 12:52:44,2019-08-13 12:52:46,2.006s,PASSED
"click(findTestObject(""CR-DESKTOP - SPANISH/product page/Add to bag""))",Safari 12,,2019-08-13 12:52:46,2019-08-13 12:52:47,0.251s,PASSED
delay(2),Safari 12,,2019-08-13 12:52:47,2019-08-13 12:52:49,2.008s,PASSED
"click(findTestObject(""CR-DESKTOP/Cart flyout/Checkout""))",Safari 12,,2019-08-13 12:52:49,2019-08-13 12:52:55,6.374s,PASSED
delay(3),Safari 12,,2019-08-13 12:52:55,2019-08-13 12:52:58,3.008s,PASSED
"click(findTestObject(""CR-DESKTOP - SPANISH/Customer info page/cart page link""))",Safari 12,,2019-08-13 12:52:58,2019-08-13 12:53:00,2.289s,PASSED
delay(2),Safari 12,,2019-08-13 12:53:00,2019-08-13 12:53:02,2.007s,PASSED
"a = getText(findTestObject(""CR-DESKTOP/Cart page/Get price - subtotal- cart page""))",Safari 12,,2019-08-13 12:53:02,2019-08-13 12:53:02,0.092s,PASSED
delay(2),Safari 12,,2019-08-13 12:53:02,2019-08-13 12:53:04,2.006s,PASSED
"comment(""a="" + a)",Safari 12,,2019-08-13 12:53:04,2019-08-13 12:53:04,0.015s,PASSED
a1 = a.substring(1),Safari 12,,2019-08-13 12:53:04,2019-08-13 12:53:04,0.003s,PASSED
"comment(""a1="" + a1)",Safari 12,,2019-08-13 12:53:04,2019-08-13 12:53:04,0.005s,PASSED
delay(2),Safari 12,,2019-08-13 12:53:04,2019-08-13 12:53:06,2.006s,PASSED
"setText(findTestObject(""CR-DESKTOP - SPANISH/Cart page/input update qunatity""), ""4"")",Safari 12,,2019-08-13 12:53:06,2019-08-13 12:53:07,0.272s,PASSED
delay(2),Safari 12,,2019-08-13 12:53:07,2019-08-13 12:53:09,2.002s,PASSED
"click(findTestObject(""CR-DESKTOP/Cart page/td_Quantity""))",Safari 12,,2019-08-13 12:53:09,2019-08-13 12:53:09,0.134s,PASSED
delay(2),Safari 12,,2019-08-13 12:53:09,2019-08-13 12:53:11,2.005s,PASSED
"setText(findTestObject(""CR-DESKTOP - SPANISH/Cart page/input update qunatity""), ""6"")",Safari 12,,2019-08-13 12:53:11,2019-08-13 12:53:11,0.295s,PASSED
delay(2),Safari 12,,2019-08-13 12:53:11,2019-08-13 12:53:13,2.005s,PASSED
"click(findTestObject(""CR-DESKTOP/Cart page/td_Quantity""))",Safari 12,,2019-08-13 12:53:13,2019-08-13 12:53:13,0.144s,PASSED
delay(2),Safari 12,,2019-08-13 12:53:13,2019-08-13 12:53:15,2.009s,PASSED
"click(findTestObject(""CR-DESKTOP/Cart page/Update cart""))",Safari 12,,2019-08-13 12:53:15,2019-08-13 12:53:15,0.190s,PASSED
